Австралия,	AU,	AUS,	036;
Австрия,	AT,	AUT,	040;
Азербайджан,	AZ,	AZE,	031;
Албания,	AL,	ALB,	008;
Алжир,	DZ,	DZA,	012;
Американское Самоа,	AS,	ASM,	016;
Ангилья,	AI,	AIA,	660;
Ангола,	AO,	AGO,	024;
Андорра,	AD,	AND,	020;
Антарктида,	AQ,	ATA,	010;
Антигуа и Барбуда,	AG,	ATG,	028;
Аргентина,	AR,	ARG,	032;
Армения,	AM,	ARM,	051;
Аруба,	AW,	ABW,	533;
Афганистан,	AF,	AFG,	004;
Багамы,	BS,	BHS,	044;
Бангладеш,	BD,	BGD,	050;
Барбадос,	BB,	BRB,	052;
Бахрейн,	BH,	BHR,	048;
Беларусь,	BY,	BLR,	112;
Белиз,	BZ,	BLZ,	084;
Бельгия,	BE,	BEL,	056;
Бенин,	BJ,	BEN,	204;
Бермуды,	BM,	BMU,	060;
Болгария,	BG,	BGR,	100;
Боливия,	BO,	BOL,	068;
Босния и Герцеговина,	BA,	BIH,	070;
Ботсвана,	BW,	BWA,	072;
Бразилия,	BR,	BRA,	076;
Британская Территория в Индийском Океане,	IO,	IOT,	086;
Бруней-Даруссалам,	BN,	BRN,	096;
Буркина-Фасо,	BF,	BFA,	854;
Бурунди,	BI,	BDI,	108;
Бутан,	BT,	BTN,	064;
Вануату,	VU,	VUT,	548;
Ватикан,	VA,	VAT,	336;
Венгрия,	HU,	HUN,	348;
Венесуэла,	VE,	VEN,	862;
Виргинские острова. Британские,	VG,	VGB,	092;
Виргинские острова. США,	VI,	VIR,	850;
Вьетнам,	VN,	VNM,	704;
Габон,	GA,	GAB,	266;
Гаити,	HT,	HTI,	332;
Гайана,	GY,	GUY,	328;
Гамбия,	GM,	GMB,	270;
Гана,	GH,	GHA,	288;
Гваделупа,	GP,	GLP,	312;
Гватемала,	GT,	GTM,	320;
Гвинея,	GN,	GIN,	324;
Гвинея-Бисау,	GW,	GNB,	624;
Германия,	DE,	DEU,	276;
Гибралтар,	GI,	GIB,	292;
Гондурас,	HN,	HND,	340;
Гонконг,	HK,	HKG,	344;
Гренада,	GD,	GRD,	308;
Гренландия,	GL,	GRL,	304;
Греция,	GR,	GRC,	300;
Грузия,	GE,	GEO,	268;
Гуам,	GU,	GUM,	316;
Дания,	DK,	DNK,	208;
Джибути,	DJ,	DJI,	262;
Доминика,	DM,	DMA,	212;
Доминиканская Республика,	DO,	DOM,	214;
Египет,	EG,	EGY,	818;
Замбия,	ZM,	ZMB,	894;
Западная Сахара,	EH,	ESH,	732;
Зимбабве,	ZW,	ZWE,	716;
Израиль,	IL,	ISR,	376;
Индия,	IN,	IND,	356;
Индонезия,	ID,	IDN,	360;
Иордания,	JO,	JOR,	400;
Ирак,	IQ,	IRQ,	368;
Иран Исламская Республика,	IR,	IRN,	364;
Ирландия,	IE,	IRL,	372;
Исландия,	IS,	ISL,	352;
Испания,	ES,	ESP,	724;
Италия,	IT,	ITA,	380;
Йемен,	YE,	YEM,	887;
Кабо-Верде,	CV,	CPV,	132;
Казахстан,	KZ,	KAZ,	398;
Камбоджа,	KH,	KHM,	116;
Камерун,	CM,	CMR,	120;
Канада,	CA,	CAN,	124;
Катар,	QA,	QAT,	634;
Кения,	KE,	KEN,	404;
Кипр,	CY,	CYP,	196;
Киргизия,	KG,	KGZ,	417;
Кирибати,	KI,	KIR,	296;
Китай,	CN,	CHN,	156;
Кокосовые (Килинг) острова,	CC,	CCK,	166;
Колумбия,	CO,	COL,	170;
Коморы,	KM,	COM,	174;
Конго,	CG,	COG,	178;
Конго Демократическая Республика,	CD,	COD,	180;
Корея Народно-Демократическая Республика,	KP,	PRK,	408;
Корея Республика,	KR,	KOR,	410;
Коста-Рика,	CR,	CRI,	188;
Кот Д'Ивуар,	CI,	CIV,	384;
Куба,	CU,	CUB,	192;
Кувейт,	KW,	KWT,	414;
Лаосская Народно-Демократическая Республика,	LA,	LAO,	418;
Латвия,	LV,	LVA,	428;
Лесото,	LS,	LSO,	426;
Либерия,	LR,	LBR,	430;
Ливан,	LB,	LBN,	422;
Ливийская Арабская Джамахирия,	LY,	LBY,	434;
Литва,	LT,	LTU,	440;
Лихтенштейн,	LI,	LIE,	438;
Люксембург,	LU,	LUX,	442;
Маврикий,	MU,	MUS,	480;
Мавритания,	MR,	MRT,	478;
Мадагаскар,	MG,	MDG,	450;
Майотта,	YT,	MYT,	175;
Македония. бывшая Югославская Республика,	MK,	MKD,	807;
Малави,	MW,	MWI,	454;
Малайзия,	MY,	MYS,	458;
Мали,	ML,	MLI,	466;
Мальдивы,	MV,	MDV,	462;
Мальта,	MT,	MLT,	470;
Марокко,	MA,	MAR,	504;
Мартиника,	MQ,	MTQ,	474;
Маршалловы острова,	MH,	MHL,	584;
Мексика,	MX,	MEX,	484;
Микронезия. Федеративные Штаты,	FM,	FSM,	583;
Мозамбик,	MZ,	MOZ,	508;
Молдова. Республика,	MD,	MDA,	498;
Монако,	MC,	MCO,	492;
Монголия,	MN,	MNG,	496;
Монтсеррат,	MS,	MSR,	500;
Мьянма,	MM,	MMR,	104;
Намибия,	NA,	NAM,	516;
Науру,	NR,	NRU,	520;
Непал,	NP,	NPL,	524;
Нигер,	NE,	NER,	562;
Нигерия,	NG,	NGA,	566;
Нидерландские Антилы,	AN,	ANT,	530;
Нидерланды,	NL,	NLD,	528;
Никарагуа,	NI,	NIC,	558;
Ниуэ,	NU,	NIU,	570;
Новая Зеландия,	NZ,	NZL,	554;
Новая Каледония,	NC,	NCL,	540;
Норвегия,	NO,	NOR,	578;
Объединенные Арабские Эмираты,	AE,	ARE,	784;
Оман,	OM,	OMN,	512;
Остров Буве,	BV,	BVT,	074;
Остров Норфолк,	NF,	NFK,	574;
Остров Рождества,	CX,	CXR,	162;
Остров Херд и острова Макдональд,	HM,	HMD,	334;
Острова Кайман,	KY,	CYM,	136;
Острова Кука,	CK,	COK,	184;
Острова Теркс и Кайкос,	TC,	TCA,	796;
Пакистан,	PK,	PAK,	586;
Палау,	PW,	PLW,	585;
Панама,	PA,	PAN,	591;
Папуа-Новая Гвинея,	PG,	PNG,	598;
Парагвай,	PY,	PRY,	600;
Перу,	PE,	PER,	604;
Питкерн,	PN,	PCN,	612;
Польша,	PL,	POL,	616;
Португалия,	PT,	PRT,	620;
Пуэрто-Рико,	PR,	PRI,	630;
Реюньон,	RE,	REU,	638;
Россия,	RU,	RUS,	643;
Руанда,	RW,	RWA,	646;
Румыния,	RO,	ROU,	642;
Сальвадор,	SV,	SLV,	222;
Самоа,	WS,	WSM,	882;
Сан-Марино,	SM,	SMR,	674;
Сан-Томе и Принсипи,	ST,	STP,	678;
Саудовская Аравия,	SA,	SAU,	682;
Свазиленд,	SZ,	SWZ,	748;
Святая Елена,	SH,	SHN,	654;
Северные Марианские острова,	MP,	MNP,	580;
Сейшелы,	SC,	SYC,	690;
Сен-Пьер и Микелон,	PM,	SPM,	666;
Сенегал,	SN,	SEN,	686;
Сент-Винсент и Гренадины,	VC,	VCT,	670;
Сент-Китс и Невис,	KN,	KNA,	659;
Сент-Люсия,	LC,	LCA,	662;
Сербия и Черногория,	CS,	SCG,	891;
Сингапур,	SG,	SGP,	702;
Сирийская Арабская Республика,	SY,	SYR,	760;
Словакия,	SK,	SVK,	703;
Словения,	SI,	SVN,	705;
Соединенное Королевство,	GB,	GBR,	826;
Соединенные Штаты,	US,	USA,	840;
Соломоновы острова,	SB,	SLB,	090;
Сомали,	SO,	SOM,	706;
Судан,	SD,	SDN,	736;
Суринам,	SR,	SUR,	740;
Сьерра-Леоне,	SL,	SLE,	694;
Таджикистан,	TJ,	TJK,	762;
Таиланд,	TH,	THA,	764;
Танзания. Объединенная Республика,	TZ,	TZA,	834;
Тимор-Лесте,	TL,	TLS,	626;
Того,	TG,	TGO,	768;
Токелау,	TK,	TKL,	772;
Тонга,	TO,	TON,	776;
Тринидад и Тобаго,	TT,	TTO,	780;
Тувалу,	TV,	TUV,	798;
Тунис,	TN,	TUN,	788;
Туркмения,	TM,	TKM,	795;
Турция,	TR,	TUR,	792;
Уганда,	UG,	UGA,	800;
Узбекистан,	UZ,	UZB,	860;
Украина,	UA,	UKR,	804;
Уоллис и Футуна,	WF,	WLF,	876;
Уругвай,	UY,	URY,	858;
Фарерские острова,	FO,	FRO,	234;
Фиджи,	FJ,	FJI,	242;
Филиппины,	PH,	PHL,	608;
Финляндия,	FI,	FIN,	246;
Фолклендские острова (Мальвинские),	FK,	FLK,	238;
Франция,	FR,	FRA,	250;
Французская Гвиана,	GF,	GUF,	254;
Французская Полинезия,	PF,	PYF,	258;
Французские Южные Территории,	TF,	ATF,	260;
Хорватия,	HR,	HRV,	191;
Центрально-Африканская Республика,	CF,	CAF,	140;
Чад,	TD,	TCD,	148;
Чешская Республика,	CZ,	CZE,	203;
Чили,	CL,	CHL,	152;
Швейцария,	CH,	CHE,	756;
Швеция,	SE,	SWE,	752;
Шпицберген и Ян Майен,	SJ,	SJM,	744;
Шри-Ланка,	LK,	LKA,	144;
Эквадор,	EC,	ECU,	218;
Экваториальная Гвинея,	GQ,	GNQ,	226;
Эритрея,	ER,	ERI,	232;
Эстония,	EE,	EST,	233;
Эфиопия,	ET,	ETH,	231;
Южная Африка,	ZA,	ZAF,	710;
Южная Джорджия и Южные Сандвичевы острова,	GS,	SGS,	239;
Ямайка,	JM,	JAM,	388;
Япония,	JP,	JPN,	392;
